objectid,parentid,title,former_name,architect,architect_url,restoration_architect,building_type,architecture_firm,architecture_firm_url,building_materials,date,date_began,date_completed,date_alteration,date_restoration,date_demolished,description,address,location,latitude,longitude,alteration_architect,note,sources,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
in004,,Sherwin-Williams Company Limited,,,,,industrial complex,MacVicar & Heriot,f001.html,red brick; stone foundation,1903,,1903,"1925, 1930,1937,1942,1946,1947,1965-67,1974, 1997",,,,2855 rue Centre,rue Centre,45.476636,-73.572661,"T. Pringle & Son, engineers (1925); Ross & Macdonald (1930, 1937, 1942) Michel Letourneau (1997)",Renovated in 1997 for residential use. The majority of the original buildings in complex have been demolished.,"“Factory Transformed.” . <em>Montreal Gazette,</em> 4 Sept. 1997: A4<br><br>Archemi. <em>Inventaire et évaluation des ressources culturelles Canal de Lachine.</em> Montréal: Parcs Canada, 1995. .<br>Location: Centre de documentation. Parcs Canada- secteur de Lachine.<br>Visuals: exterior photo.<br><br>Faucher et al. <em>Canal de Lachine et ses abords: Étude de zone prioritaire sur la mise en valeur du patrimoine.</em> Montréal: Ville de Montréal, Service de l’habitation et du developpement urbain, 1991. .<br>Visuals: exterior photo.<br><br>Rose, David. <em>Guide du fonds Ross &amp; Macdonald/ Guide and Inventory to the Ross &amp; Macdonald Archive.</em> Montréal: Canadian Centre for Architecture, 1991. : 218-220, 251<br>Note: Describes the plans and drawings for a linseed oil mill (1937) and a proposed extension to the Sherwin Williams plant (1943). Drawings held at Canadian Centre for Architecture.<br><br>Sijpkes, Pieter. “Skeletons of defunct buildings like paleontologists' fossils; Relics of another era worth recycling.” . <em>Montreal Gazette,</em> 3 Sept. 1994: H6<br>Visuals: exterior photo.<br><br>Whittaker, Stephanie. “Industrial area reborn as residential community.” . <em>Montreal Gazette,</em> 24 Oct. 1998: E1",IN004,Image;StillImage,image/jpeg,eng,,,compound_object,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,
in004_01,in004,Looking south from the intersection of Atwater Ave. and rue Centre,,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,https://digital.library.mcgill.ca/industrial/images/sherwill.jpg,
in004_02,in004,"Company advertisement from 1932; Montreal, the Metropolis of Canada: A Comprehensive Record of the Growth and Development of the Canadian Metropolis (Montreal: Montreal Industrial Commission, 1932), 43.",,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg,https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg,https://digital.library.mcgill.ca/industrial/images/sherwillad.jpg,
in005,,Caron Building,,,,,light manufacturing,MacVicar & Heriot,f001.html,Indiana limestone; brick; granite base,1923,,1923,,,,,2050-2060 rue de Bleury,rue de Bleury,45.5071662,-73.5687609,,,"“The New Caron Building, Montreal.” . <em>Construction</em> 16:9, 1923: 311-314<br>Visuals: floor plans, elevation, exterior drawing.<br><br>Communauté Urbaine de Montréal. <em>Architecture Industrielle Montreal.</em> Montréal: Le Service, 1982. : 42-43<br>Visuals: exterior photo.",IN005,Image;StillImage,image/jpeg,eng,,,compound_object,https://digital.library.mcgill.ca/industrial/images/caron.jpg,https://digital.library.mcgill.ca/industrial/images/caron.jpg,https://digital.library.mcgill.ca/industrial/images/caron.jpg,
in005_01,in005,View looking west (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/caron.jpg,https://digital.library.mcgill.ca/industrial/images/caron.jpg,https://digital.library.mcgill.ca/industrial/images/caron.jpg,
in005_02,in005,Architect's illustration; from Construction 16:9 (Sept. 1923) 313.,,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/caron02.jpg,https://digital.library.mcgill.ca/industrial/images/caron02.jpg,https://digital.library.mcgill.ca/industrial/images/caron02.jpg,
in005_03,in005,Ground floor plan; from Construction 16:9 (Sept. 1923) 311.,,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/caron03.jpg,https://digital.library.mcgill.ca/industrial/images/caron03.jpg,https://digital.library.mcgill.ca/industrial/images/caron03.jpg,
in005_04,in005,"Elevation of south wall and elevator entrances, main entrance corridor; from Construction 16:9 (Sept. 1923) 312",,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/caron04.jpg,https://digital.library.mcgill.ca/industrial/images/caron04.jpg,https://digital.library.mcgill.ca/industrial/images/caron04.jpg,
in006,,Gault Brothers Co.,,,,,factory,Finley & Spence,f002.html,,1901,,1901,"1923, 1940",,,,350 rue de l'Inspecteur,rue de l'Inspecteur,45.4961295,-73.5603195,,A garage was added in 1923.,"<em>Special number of the Dominion Illustrated devoted to Montreal, the Commercial Metropolis of Canada.</em> Montréal: Sabiston Lithographic and Pub. Co., 1891. : 33<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br><br>Chambers, Ernest J. <em>The Book of Montreal: a Souvenir of Canada’s Commercial Metropolis.</em> Montréal: Book of Montréal, 1903. : 173, 177<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br>Visuals: exterior photo.<br><br>Gyulai, Linda. “Historic buildings at risk: Here’s a list of some of the principal endangered buildings.” . <em>Montreal Gazette,</em> 23 Oct. 1999: B4<br>Visuals: exterior photo.",IN006,Image;StillImage,image/jpeg,eng,,,compound_object,https://digital.library.mcgill.ca/industrial/images/gault.jpg,https://digital.library.mcgill.ca/industrial/images/gault.jpg,https://digital.library.mcgill.ca/industrial/images/gault.jpg,
in006_01,in006,View looking south west along rue William (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/gault.jpg,https://digital.library.mcgill.ca/industrial/images/gault.jpg,https://digital.library.mcgill.ca/industrial/images/gault.jpg,
in006_01,in006,"Photograph (ca. 1903) of the then Crescent Manufacturing Co.; from Ernest Chambers, The Book of Montreal: a Souvenir of Canada's Commercial Metropolis (Montreal: Book of Montreal, 1903), 177.",,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/afgault01.jpg,https://digital.library.mcgill.ca/industrial/images/afgault01.jpg,https://digital.library.mcgill.ca/industrial/images/afgault01.jpg,
in007,,Belgo Building,,,,,light manufacturing,Finley & Spence,f002.html,Yellow brick; Indiana limestone; Montreal greystone,1913,1912,1913,1958,,,,352-392 rue Ste-Catherine ouest,rue Ste-Catherine ouest,45.4965032,-73.5763754,F. David Mathias,F. David Mathias renovated the main entrance in polished green granite.,"Lemire, Robert and Monique Trepanier. <em>Inventory of Buildings constructed between 1919 and 1959 in Old Montreal and Saint-Georges and Saint-Andre Wards.</em> Ottawa: Direction des lieux et des parcs historiques nationaux, Parcs Canada, Environment Canada, 1981. : 59",IN007,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,multiple,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,
in007_01,in007,"View, looking north-east, along rue Ste-Catherine (1999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,image,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,https://digital.library.mcgill.ca/industrial/images/belgo01.jpg,
in007_02,in007,Detail of building ornament (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,image,https://digital.library.mcgill.ca/industrial/images/belgo02.jpg,https://digital.library.mcgill.ca/industrial/images/belgo02.jpg,https://digital.library.mcgill.ca/industrial/images/belgo02.jpg,
in007_03,in007,"View, looking south, along rue Ste-Catherine (1999)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,image,https://digital.library.mcgill.ca/industrial/images/belgo03.jpg,https://digital.library.mcgill.ca/industrial/images/belgo03.jpg,https://digital.library.mcgill.ca/industrial/images/belgo03.jpg,
in008,,Warehouses of William Busby Lambe,,,,"Brian R. Perry & Associates, engineers",storage facility; warehouse,"Hopkins, Lawford & Nelson",f004.html,grey stone,1857,,1857,,1965,,View looking north-west (1999),731 rue de la Commune ouest,rue de la Commune ouest,45.4965493,-73.5531447,,,"Malo, Pierre. “Le faubourg des Récollets: Projets de mise en valeur.” Montréal: McGill University, 1991. : 24<br>Visuals: exterior photo.<br>Note: Unpublished student paper.<br><br>Sauvons Montreal/Save Montreal. <em>Recollets: Les quartiers du Centre-Ville du Montreal/ Montreal’s Downtown Neighbourhoods.</em> Montréal: Sauvons Montréal/Save Montréal, 1977. : 35<br>Visuals: exterior photo.",IN008,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/lambe.jpg,https://digital.library.mcgill.ca/industrial/images/lambe.jpg,https://digital.library.mcgill.ca/industrial/images/lambe.jpg,
in010,,J.C. Wilson & Co. Building/Edifice Wilson,,,,,printing plant,J.W. & E.C. Hopkins,f003.html,red brick; red terra cotta,1880,1880,,,,,,380 rue St-Antoine est,rue St-Antoine est,45.5108324,-73.5543846,,Originally paper product manufacturers.,"<em>Industries of Canada. City of Montreal Historical and Descriptive Review.</em> Montréal: Historical Publishing Co., 1886. : 118<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br><br><em>Special number of the Dominion Illustrated devoted to Montreal, the Commercial Metropolis of Canada.</em> Montréal: Sabiston Lithographic and Pub. Co., 1891. : 172-173<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br>Visuals: exterior photo.<br>Note: Text accompanied by large advertisement, describes architectural style of building, and operations within.<br><br>Lambert, Phyllis. <em>Inventaire des batiments du Vieux Montreal.</em> Quebec: Centre de documentation, Service de l’inventaire des biens culturels, 1977. : 27",IN010,Image;StillImage,image/jpeg,eng,,,compound_object,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,
in010_01,in010,"Company advertisement from 1891; from Special Number of the Dominion Illustrated (Montreal: Sabiston Lithographic and Pub., 1891), 172.",,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,https://digital.library.mcgill.ca/industrial/images/wilson.jpg,
in010_02,in010,"View, looking south-east, of front elevation (1999)",,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/wilson.jpg,https://digital.library.mcgill.ca/industrial/images/wilson.jpg,https://digital.library.mcgill.ca/industrial/images/wilson01.jpg,
in011,,New City Gas Company of Montreal,,"Ostell, John",a025.html,,gasworks,,,red brick,1861,1859,1861,,,,"View, looking south-east (1999)",956 rue Ottawa,rue Ottawa,45.49546542,-73.55819097,,"In 1901, the New City Gas Company of Montreal fused with Royal Electric Co. to become Montreal Light, Heat, & Power Consolidated.","James, Ellen. <em>John Ostell: Architecte, Arpenteur/ Architect, Surveyor.</em> Montréal: McCord Museum, McGill University, 1985. : 87, 90<br>Visuals: drawing.<br><br>Laguë, Jean., Willa Burgess, and Mark London. <em>Proposal: Canal de Lachine, Ecluses St-Gabriel.</em> Montréal: Héritage Montréal, 1985. : 21<br>Visuals: exterior photo.",IN011,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/newcity.jpg,https://digital.library.mcgill.ca/industrial/images/newcity.jpg,https://digital.library.mcgill.ca/industrial/images/newcity.jpg,
in012,,Frothingham and Workman Warehouse,,,,,storage facility; warehouse,Ostell & Perrault,f022.html,Grey stone,1852,,1852,,,,,147 rue St-Paul ouest,rue St-Paul ouest,45.5036098,-73.554951,,"Originally axe manufacturers, hardware wholesalers.","James, Ellen. <em>John Ostell: Architecte, Arpenteur/ Architect, Surveyor.</em> Montréal: McCord Museum, McGill University, 1985. : 61, 69<br>Visuals: exterior rendering.",IN012,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,multiple,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,
in012_01,in012,View of main entrance (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,image,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman01.jpg,
in012_02,in012,View of building from street (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,image,https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg,https://digital.library.mcgill.ca/industrial/images/frothworkman02.jpg,
in013,,Ateliers Thomas Hood,,"Footner, William",a009.html,,,,,,1860,,1860,,,,"View, looking east (1999)",410-416 rue du Champ-de-Mars,rue du Champ-de-Mars,45.5108292,-73.5531095,,The building has been renovated for residential use.,,IN013,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/thomashood.jpg,https://digital.library.mcgill.ca/industrial/images/thomashood.jpg,https://digital.library.mcgill.ca/industrial/images/thomashood.jpg,
in014,,Robert Mitchell Co./Montreal Brass Works,,"Boxer, Frederick (Francois) Nepheau",a005.html,Jean Crevier (1948),metalworking plant,,,,1862,1862,,1946,1948,n.d.,Advertisement from 1916; from Construction 9:11 (Nov. 1916) 50.,350-360 rue St-Antoine ouest,rue St-Antoine ouest,45.5032517,-73.5604542,,"Originally, brassfounders and finishers, coppersmiths, electric light finishers (1900). After the departure of Mitchell in 1893, the building was occupied by various tenants, including Troy Steam Laundry and the printing facilities for the journal The Witness.","<em>Industries of Canada. City of Montreal Historical and Descriptive Review.</em> Montréal: Historical Publishing Co., 1886. : 167<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br><br><em>Special number of the Dominion Illustrated devoted to Montreal, the Commercial Metropolis of Canada.</em> Montréal: Sabiston Lithographic and Pub. Co., 1891. : 133<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br>Visuals: exterior rendering.<br>Note: Description of building, and use.",IN014,Image;StillImage,image/jpeg,eng,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg,https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg,https://digital.library.mcgill.ca/industrial/images/rmitchell02.jpg,
in015,,Ives and Allen Company,H.R.Ives and Co.,"Hutchison, Alexander Cowper",a014.html,,metalworking plant,,,,1872,1864,1872,,,1997,"View, looking north, shortly after demolition (1999)",261 rue Queen,rue Queen,45.49824883,-73.55674664,,In the 1930s the building was occupied by a warehousing company and a textile company. The building was destroyed by fire in 1997.,"<em>Industries of Canada. City of Montreal Historical and Descriptive Review.</em> Montréal: Historical Publishing Co., 1886. : 105<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br><br><em>Special number of the Dominion Illustrated devoted to Montreal, the Commercial Metropolis of Canada.</em> Montréal: Sabiston Lithographic and Pub. Co., 1891. : 195<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br>Visuals: exterior rendering.<br>Note: Describes layout of complex.<br><br><em>Montreal, The Metropolis of Canada, Illustrated.</em> Montréal: Consolidated Illustrating Co., 1894. : 128-9<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br><br><em>Les interets commerciaux de Montréal et Québec et leurs manufactures.</em> Montréal: K.G.C. Huttemeyer, 1889. : 103-4<br>Location: Dept. of Rare Books and Special Collections. McGill University Library.<br>Visuals: exterior rendering.<br><br>Carey, Luc; Guy Mongrain and Sylvain Provost. <em>Un Quartier en Mutation: Le Sud du Faubourg des Récollets, 1930-1996.</em> Montréal: Société de développement de Montréal, 1996. : planche 7<br>Visuals: exterior photo.<br><br>Communauté Urbaine de Montréal. <em>Architecture Industrielle Montreal.</em> Montréal: Le Service, 1982. : 132-135<br>Visuals: exterior photo, exterior rendering.<br><br>DeVolpi, Charles P. <em>Montreal Recueil Iconographique/ A Pictorial Record.</em> Montréal: Dev-Sco Publications, 1963. : 197, 221<br>Visuals: exterior rendering.<br><br>Lehmann, Henry. “Recollets is site for art among the ruins.” . <em>Montreal Gazette,</em> 21 Jun 1997: J6<br><br>Malo, Pierre. “Le faubourg des Récollets: Projets de mise en valeur.” Montréal: McGill University, 1991. : 31<br>Visuals: exterior photo.<br>Note: Unpublished student paper.<br><br>Sauvons Montreal/Save Montreal. <em>Recollets: Les quartiers du Centre-Ville du Montreal/ Montreal’s Downtown Neighbourhoods.</em> Montréal: Sauvons Montréal/Save Montréal, 1977. : 32",IN015,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg,https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg,https://digital.library.mcgill.ca/industrial/images/ivesall2.jpg,
in016,,Watson Foster Co. Ltd.,,"Hutchison, Alexander Cowper",a014.html,,factory,,,stone foundation; brick,1897,1896,1897,,,,,4115 rue Ontario est,rue Ontario est,45.5505095,-73.5412305,,The building was originally used as a wallpaper factory.,"l’atelier d’histoire Hochelaga-Maisonneuve Inc. <em>Evolution de l’architecture industrielle. Un quartier-type: Hochelaga-Maisonneuve.</em> Montréal: l’atelier d’histoire Hochelaga-Maisonneuve Inc., 1982. : 6<br>Visuals: exterior photo.<br><br>Linteau, Paul-André. <em>Maisonneuve: Comment des promoteurs fabriquent une ville.</em> Montréal: Boréal Express, 1981. : 116-118<br>Visuals: exterior photo.",IN016,Image;StillImage,image/jpeg,eng,,,compound_object,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,
in016_01,in016,"View, looking south-west the intersection of rue Ontario and ave. Desjardins(1999)",,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster01.jpg,
in016_02,in016,"View, looking north-west, along ave. Desjardins (1999)",,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster02.jpg,
in016_03,in016,Looking north from boul. Pie IX and rue Ontario (1999),,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster03.jpg,
in016_04,in016,"Illustration of company factory (1903); from Ernest Chambers, The Book of Montreal: a Souvenir of Canada's Commercial Metropolis (Montreal: Book of Montreal, 1903), 264.",,,,,,,,,,,,,,,,,,,,,,,,,,,The copyright and related rights status of this Item has not been evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,image,https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg,https://digital.library.mcgill.ca/industrial/images/wfoster04.jpg,
